gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1002134,r_2813,"lysoPC acyltransferase (1-16:0, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002135,r_2814,"lysoPC acyltransferase (1-16:1, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002136,r_2815,"lysoPC acyltransferase (1-16:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002137,r_2816,"lysoPC acyltransferase (1-18:0, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002138,r_2817,"lysoPC acyltransferase (1-18:0, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002139,r_2818,"lysoPC acyltransferase (1-18:1, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002140,r_2819,"lysoPC acyltransferase (1-18:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,
1002141,r_2820,"phosphatidylinositol 4-kinase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002142,r_2821,"phosphatidylinositol 4-kinase (1-16:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002143,r_2822,"phosphatidylinositol 4-kinase (1-18:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002144,r_2823,"phosphatidylinositol 4-kinase (1-18:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002145,r_2824,"phosphatidylinositol 4-kinase (1-16:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002146,r_2825,"phosphatidylinositol 4-kinase (1-16:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002147,r_2826,"phosphatidylinositol 4-kinase (1-18:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002148,r_2827,"phosphatidylinositol 4-kinase (1-18:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YJL100W or YLR305C
1002149,r_2828,"phosphatidylinositol 4-kinase (1-16:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002150,r_2829,"phosphatidylinositol 4-kinase (1-16:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002151,r_2830,"phosphatidylinositol 4-kinase (1-18:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002152,r_2831,"phosphatidylinositol 4-kinase (1-18:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002153,r_2832,"phosphatidylinositol 4-kinase (1-16:0, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002154,r_2833,"phosphatidylinositol 4-kinase (1-16:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002155,r_2834,"phosphatidylinositol 4-kinase (1-18:0, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002156,r_2835,"phosphatidylinositol 4-kinase (1-18:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YJL100W
1002157,r_2836,"phosphatidylinositol 4-kinase (1-16:0, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002158,r_2837,"phosphatidylinositol 4-kinase (1-16:1, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002159,r_2838,"phosphatidylinositol 4-kinase (1-18:0, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002160,r_2839,"phosphatidylinositol 4-kinase (1-18:1, 2-16:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002161,r_2840,"phosphatidylinositol 4-kinase (1-16:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002162,r_2841,"phosphatidylinositol 4-kinase (1-16:1, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002163,r_2842,"phosphatidylinositol 4-kinase (1-18:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002164,r_2843,"phosphatidylinositol 4-kinase (1-18:1, 2-18:1), Golgi membrane",Inositol phosphate metabolism,YDR373W and YNL267W
1002165,r_2844,"phosphatidylinositol 4-kinase (1-16:0, 2-16:1), nucleus",Inositol phosphate metabolism,YNL267W
1002166,r_2845,"phosphatidylinositol 4-kinase (1-16:1, 2-16:1), nucleus",Inositol phosphate metabolism,YNL267W
1002167,r_2846,"phosphatidylinositol 4-kinase (1-18:0, 2-16:1), nucleus",Inositol phosphate metabolism,YNL267W
1002168,r_2847,"phosphatidylinositol 4-kinase (1-18:1, 2-16:1), nucleus",Inositol phosphate metabolism,YNL267W
1002169,r_2848,"phosphatidylinositol 4-kinase (1-16:0, 2-18:1), nucleus",Inositol phosphate metabolism,YNL267W
1002170,r_2849,"phosphatidylinositol 4-kinase (1-16:1, 2-18:1), nucleus",Inositol phosphate metabolism,YNL267W
1002171,r_2850,"phosphatidylinositol 4-kinase (1-18:0, 2-18:1), nucleus",Inositol phosphate metabolism,YNL267W
1002172,r_2851,"phosphatidylinositol 4-kinase (1-18:1, 2-18:1), nucleus",Inositol phosphate metabolism,YNL267W
1002173,r_2852,"phosphatidylinositol 3-kinase (1-16:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002174,r_2853,"phosphatidylinositol 3-kinase (1-16:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002175,r_2854,"phosphatidylinositol 3-kinase (1-18:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002176,r_2855,"phosphatidylinositol 3-kinase (1-18:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002177,r_2856,"phosphatidylinositol 3-kinase (1-16:0, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002178,r_2857,"phosphatidylinositol 3-kinase (1-16:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002179,r_2858,"phosphatidylinositol 3-kinase (1-18:0, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002180,r_2859,"phosphatidylinositol 3-kinase (1-18:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)
1002181,r_2860,"PI 4-P 5-kinase (1-16:0, 2-16:1), nucleus",Inositol phosphate metabolism,YDR208W
1002182,r_2861,"PI 4-P 5-kinase (1-16:1, 2-16:1), nucleus",Inositol phosphate metabolism,YDR208W
1002183,r_2862,"PI 4-P 5-kinase (1-18:0, 2-16:1), nucleus",Inositol phosphate metabolism,YDR208W
1002184,r_2863,"PI 4-P 5-kinase (1-18:1, 2-16:1), nucleus",Inositol phosphate metabolism,YDR208W
1002185,r_2864,"PI 4-P 5-kinase (1-16:0, 2-18:1), nucleus",Inositol phosphate metabolism,YDR208W
1002186,r_2865,"PI 4-P 5-kinase (1-16:1, 2-18:1), nucleus",Inositol phosphate metabolism,YDR208W
1002187,r_2866,"PI 4-P 5-kinase (1-18:0, 2-18:1), nucleus",Inositol phosphate metabolism,YDR208W
1002188,r_2867,"PI 4-P 5-kinase (1-18:1, 2-18:1), nucleus",Inositol phosphate metabolism,YDR208W
1002189,r_2868,"PI 4-P 5-kinase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002190,r_2869,"PI 4-P 5-kinase (1-16:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002191,r_2870,"PI 4-P 5-kinase (1-18:0, 2-16:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002192,r_2871,"PI 4-P 5-kinase (1-18:1, 2-16:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002193,r_2872,"PI 4-P 5-kinase (1-16:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002194,r_2873,"PI 4-P 5-kinase (1-16:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002195,r_2874,"PI 4-P 5-kinase (1-18:0, 2-18:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002196,r_2875,"PI 4-P 5-kinase (1-18:1, 2-18:1), cell envelope",Inositol phosphate metabolism,YDR208W
1002197,r_2876,"PI 3-P 5-kinase (1-16:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002198,r_2877,"PI 3-P 5-kinase (1-16:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002199,r_2878,"PI 3-P 5-kinase (1-18:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002200,r_2879,"PI 3-P 5-kinase (1-18:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002201,r_2880,"PI 3-P 5-kinase (1-16:0, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002202,r_2881,"PI 3-P 5-kinase (1-16:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002203,r_2882,"PI 3-P 5-kinase (1-18:0, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002204,r_2883,"PI 3-P 5-kinase (1-18:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,YFR019W
1002205,r_2884,"PE (1-16:0, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002206,r_2885,"PE (1-16:1, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002207,r_2886,"PE (1-18:0, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002208,r_2887,"PE (1-18:1, 2-16:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002209,r_2888,"PE (1-16:0, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002210,r_2889,"PE (1-16:1, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002211,r_2890,"PE (1-18:0, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002212,r_2891,"PE (1-18:1, 2-18:1) diacylglycerol (1-16:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002213,r_2892,"PE (1-16:0, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002214,r_2893,"PE (1-16:1, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002215,r_2894,"PE (1-18:0, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002216,r_2895,"PE (1-18:1, 2-16:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002217,r_2896,"PE (1-16:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002218,r_2897,"PE (1-16:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002219,r_2898,"PE (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002220,r_2899,"PE (1-18:1, 2-18:1) diacylglycerol (1-16:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002221,r_2900,"PE (1-16:0, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002222,r_2901,"PE (1-16:1, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002223,r_2902,"PE (1-18:0, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
