gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1000746,r_0793,nucleoside diphosphatase,Purine metabolism,YER005W
1000747,r_0795,nucleoside diphosphate kinase,Pyrimidine metabolism,YKL067W
1000748,r_0796,nucleoside diphosphate kinase,Purine metabolism,YKL067W
1000749,r_0797,nucleoside diphosphate kinase,Pyrimidine metabolism,YKL067W
1000750,r_0798,nucleoside diphosphate kinase,Purine metabolism,YKL067W
1000751,r_0799,nucleoside diphosphate kinase,Pyrimidine metabolism,YKL067W
1000752,r_0800,nucleoside diphosphate kinase,Purine metabolism,YKL067W
1000753,r_0801,nucleoside diphosphate kinase,Purine metabolism,YKL067W
1000754,r_0802,nucleoside diphosphate kinase,Purine metabolism,YKL067W
1000755,r_0803,nucleoside diphosphate kinase,Pyrimidine metabolism,YKL067W
1000756,r_0804,nucleoside triphosphatase,Purine metabolism,YAL035W or YLL001W or YER005W
1000757,r_0805,nucleoside triphosphatase,Pyrimidine metabolism,YER005W
1000758,r_0806,nucleoside triphosphatase,Pyrimidine metabolism,YER005W
1000759,r_0807,nucleoside triphosphatase,Purine metabolism,YER005W
1000760,r_0810,"nucleoside-diphosphatase (GDP), Golgi",Purine metabolism,YEL042W
1000761,r_0811,nucleoside-diphosphate kinase (ATP:UDP),Pyrimidine metabolism,YKL067W
1000762,r_0812,O-acetylhomoserine (thiol)-lyase,Cysteine and methionine metabolism,YLR303W
1000763,r_0813,O-acetylhomoserine (thiol)-lyase,Cysteine and methionine metabolism,YLR303W
1000764,r_0815,O-succinylhomoserine lyase (L-cysteine),Cysteine and methionine metabolism,YLL058W or YML082W or YAL012W
1000765,r_0816,ornithine carbamoyltransferase,Arginine biosynthesis,YJL088W
1000766,r_0817,ornithine decarboxylase,Arginine and proline metabolism,YKL184W
1000767,r_0818,ornithine transacetylase,Arginine biosynthesis,YMR062C
1000768,r_0819,ornithine transaminase,Arginine and proline metabolism,YLR438W
1000769,r_0820,orotate phosphoribosyltransferase,Pyrimidine metabolism,YML106W or YMR271C
1000770,r_0821,orotidine-5'-phosphate decarboxylase,Pyrimidine metabolism,YEL021W
1000771,r_0831,oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),Citrate cycle (TCA cycle),(YDR148C and YFL018C and YIL125W and YFR049W) or (YDR148C and YFL018C and YIL125W)
1000772,r_0832,oxoglutarate dehydrogenase (lipoamide),Citrate cycle (TCA cycle),(YDR148C and YFL018C and YIL125W and YFR049W) or (YDR148C and YFL018C and YIL125W)
1000773,r_0841,pantetheine-phosphate adenylyltransferase,Pantothenate and coa biosynthesis,YGR277C
1000774,r_0842,pantothenate kinase,Pantothenate and coa biosynthesis,YDR531W
1000775,r_0843,pantothenate synthase,Pantothenate and coa biosynthesis,YIL145C
1000776,r_0844,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,YJR019C
1000777,r_0845,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,YJR019C
1000778,r_0847,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,YJR019C
1000779,r_0848,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,YJR019C
1000780,r_0849,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,YJR019C
1000781,r_0850,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,YJR019C
1000782,r_0851,phenylalanine transaminase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YGL202W
1000783,r_0852,phenylalanyl-tRNA synthetase,tRNA metabolism,YFL022C and YLR060W
1000784,r_0853,phenylalanyl-tRNA synthetase,tRNA metabolism,YPR047W
1000785,r_0854,phenylpyruvate decarboxylase,Phenylalanine metabolism,YDR380W
1000786,r_0855,phopshoribosylaminoimidazole synthetase,Purine metabolism,YGL234W
1000787,r_0882,phosphoacetylglucosamine mutase,Amino sugar and nucleotide sugar metabolism,YEL058W
1000788,r_0883,phosphoadenylyl-sulfate reductase (thioredoxin),Sulfur metabolism,(YGR209C and YPR167C) or (YLR043C and YPR167C)
1000789,r_0884,phosphoenolpyruvate carboxykinase,Glycolysis / gluconeogenesis,YKR097W
1000790,r_0885,phosphoethanolamine cytidyltransferase,Glycerophospholipid metabolism,YGR007W
1000791,r_0886,phosphofructokinase,Glycolysis / gluconeogenesis,YGR240C and YMR205C
1000792,r_0887,phosphofructokinase (s7p),Glycolysis / gluconeogenesis,YGR240C and YMR205C
1000793,r_0888,phosphoglucomutase,Pentose phosphate pathway,YMR105C or YKL127W
1000794,r_0889,phosphogluconate dehydrogenase,Pentose phosphate pathway,YGR256W or YHR183W
1000795,r_0890,phosphoglucosamine mutase,Amino sugar and nucleotide sugar metabolism,YEL058W
1000796,r_0891,phosphoglycerate dehydrogenase,"Glycine, serine and threonine metabolism",YER081W or YIL074C
1000797,r_0892,phosphoglycerate kinase,Glycolysis / gluconeogenesis,YCR012W
1000798,r_0893,phosphoglycerate mutase,Glycolysis / gluconeogenesis,YOR283W or YKL152C
1000799,r_0902,phosphomannomutase,Fructose and mannose metabolism,YFL045C
1000800,r_0903,phosphomethylpyrimidine kinase,Thiamine metabolism,YOL055C or YPL258C or YPR121W
1000801,r_0904,phosphomevalonate kinase,Terpenoid backbone biosynthesis,YMR220W
1000802,r_0905,phosphopantothenate-cysteine ligase,Pantothenate and coa biosynthesis,YIL083C
1000803,r_0906,phosphopantothenoylcysteine decarboxylase,Pantothenate and coa biosynthesis,YKL088W and YKR072C and YOR054C
1000804,r_0907,phosphopentomutase,Pentose phosphate pathway,YKL127W or YMR105C or YMR278W
1000805,r_0908,phosphoribosyl amino imidazolesuccinocarbozamide synthetase,Purine metabolism,YAR015W
1000806,r_0909,phosphoribosyl-AMP cyclohydrolase,Histidine metabolism,YCL030C
1000807,r_0910,phosphoribosyl-ATP pyrophosphatase,Histidine metabolism,YCL030C
1000808,r_0911,phosphoribosylaminoimidazole-carboxylase,Purine metabolism,YOR128C
1000809,r_0912,phosphoribosylaminoimidazolecarboxamide formyltransferase,Purine metabolism,YLR028C or YMR120C
1000810,r_0913,phosphoribosylanthranilate isomerase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR007W
1000811,r_0914,phosphoribosylglycinamidine synthetase,Purine metabolism,YGL234W
1000812,r_0915,phosphoribosylpyrophosphate amidotransferase,Purine metabolism,YMR300C
1000813,r_0916,phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,(YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL061W)
1000814,r_0917,phosphoserine phosphatase (L-serine),"Glycine, serine and threonine metabolism",YGR208W
1000815,r_0918,phosphoserine transaminase,"Glycine, serine and threonine metabolism",YOR184W
1000816,r_0919,phytoceramidase,Sphingolipid metabolism,YBR183W
1000817,r_0920,phytoceramidase,Tryptophan metabolism,YDR402C
1000818,r_0921,Phytosphingosine phosphate lyase,Sphingolipid metabolism,YDR294C
1000819,r_0922,phytosphingosine synthesis,Sphingolipid metabolism,YDR297W
1000820,r_0929,polyamine oxidase,Arginine and proline metabolism,YMR020W
1000821,r_0935,porphobilinogen synthase,Porphyrin and chlorophyll metabolism,YGL040C
1000822,r_0936,poylamine oxidase,Arginine and proline metabolism,YMR020W
1000823,r_0937,poylamine oxidase,Arginine and proline metabolism,YMR020W
1000824,r_0938,prephenate dehydratase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YNL316C
1000825,r_0939,prephenate dehydrogenase (NADP),"Phenylalanine, tyrosine and tryptophan biosynthesis",YBR166C
1000826,r_0940,proline oxidase (NAD),Arginine and proline metabolism,YLR142W
1000827,r_0941,prolyl-tRNA synthetase,tRNA metabolism,YHR020W
1000828,r_0942,protoporphyrinogen oxidase,Porphyrin and chlorophyll metabolism,YER014W
1000829,r_0943,purine-nucleoside phosphorylase,Nicotinate and nicotinamide metabolism,YLR209C
1000830,r_0949,guanosine phosphorylase,Purine metabolism,YLR209C
1000831,r_0950,guanosine phosphorylase,Purine metabolism,YLR209C
1000832,r_0951,inosine phosphorylase,Purine metabolism,YLR209C
1000833,r_0953,pyridoxal oxidase,Vitamin b6 metabolism,YBR035C
1000834,r_0954,pyridoxamine 5'-phosphate oxidase,Vitamin b6 metabolism,YBR035C
1000835,r_0955,pyridoxine 5'-phosphate oxidase,Vitamin b6 metabolism,YBR035C
1000836,r_0956,pyridoxine oxidase,Vitamin b6 metabolism,YBR035C
1000837,r_0957,pyrroline-5-carboxylate reductase,Arginine and proline metabolism,YER023W
1000838,r_0958,pyruvate carboxylase,Pyruvate metabolism,YBR218C or YGL062W
1000839,r_0959,pyruvate decarboxylase,Glycolysis / gluconeogenesis,YGR087C or YLR044C or YLR134W
1000840,r_0960,pyruvate decarboxylase (acetoin-forming),Glycolysis / gluconeogenesis,YGR087C or YLR044C or YLR134W
1000841,r_0961,pyruvate dehydrogenase,Glycolysis / gluconeogenesis,YBR221C and YER178W and YFL018C and YGR193C and YNL071W
1000842,r_0962,pyruvate kinase,Glycolysis / gluconeogenesis,YAL038W or YOR347C
1000843,r_0963,quinone oxidoreductase,Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000844,r_0964,reduced glutathione via ABC system,"Transport [c, v]",YDR135C
1000845,r_0965,riboflavin kinase,Riboflavin metabolism,YDR236C
1000846,r_0966,riboflavin kinase,Riboflavin metabolism,YDR236C
1000847,r_0967,riboflavin synthase,Riboflavin metabolism,YOL143C
1000848,r_0968,riboflavin synthase,Riboflavin metabolism,YBR256C
1000849,r_0969,ribokinase,Pentose phosphate pathway,YCR036W
1000850,r_0970,ribonucleoside-triphosphate reductase (ATP),Purine metabolism,YGR209C
1000851,r_0971,ribonucleoside-triphosphate reductase (CTP),Pyrimidine metabolism,YGR209C
1000852,r_0972,ribonucleoside-triphosphate reductase (GTP),Purine metabolism,YGR209C
1000853,r_0973,ribonucleoside-triphosphate reductase (UTP),Pyrimidine metabolism,YGR209C
1000854,r_0974,ribonucleotide reductase,Purine metabolism,YER070W or YGR180C or YIL066C or YJL026W
1000855,r_0975,ribonucleotide reductase,Purine metabolism,YER070W or YGR180C or YIL066C or YJL026W
1000856,r_0976,ribonucleotide reductase,Pyrimidine metabolism,YER070W or YGR180C or YIL066C or YJL026W
1000857,r_0977,ribonucleotide reductase,Pyrimidine metabolism,YER070W or YGR180C or YIL066C or YJL026W
1000858,r_0978,ribonucleotide reductase,Purine metabolism,YER070W or YGR180C or YIL066C or YJL026W
1000859,r_0979,ribonucleotide reductase,Purine metabolism,YER070W or YGR180C or YIL066C or YJL026W
1000860,r_0982,ribose-5-phosphate isomerase,Pentose phosphate pathway,YOR095C
1000861,r_0983,ribosylnicotinamide kinase,Nicotinate and nicotinamide metabolism,YNL129W
1000862,r_0984,ribulose 5-phosphate 3-epimerase,Pentose phosphate pathway,YJL121C
1000863,r_0985,"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase",Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000864,r_0986,S-adenosyl-methionine delta-24-sterol-c-methyltransferase,Steroid biosynthesis,YML008C
1000865,r_0987,S-formylglutathione hydralase,Alternate carbon metabolism,YJL068C
1000866,r_0988,"saccharopine dehydrogenase (NAD, L-lysine forming)",Lysine metabolism,YIR034C
1000867,r_0989,"saccharopine dehydrogenase (NADP, L-glutamate forming)",Lysine metabolism,YNR050C
1000868,r_0990,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Glycolysis / gluconeogenesis,YKL060C
1000869,r_0992,serine O-acetyltransferase,Cysteine and methionine metabolism,YHR013C and YDL040C and YOR253W
1000870,r_0993,serine palmitotransferase,Sphingolipid metabolism,YMR296C and YKL212W and YDR062W and YGR038W and YLR350W and YBR058C-A
1000871,r_0995,seryl-tRNA synthetase,tRNA metabolism,YDR023W or YHR011W
1000872,r_0996,shikimate dehydrogenase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR127W
1000873,r_0997,shikimate kinase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YDR127W
1000874,r_0998,sirohydrochlorin dehydrogenase,Porphyrin and chlorophyll metabolism,YBR213W
1000875,r_0999,sirohydrochlorin ferrochetalase,Porphyrin and chlorophyll metabolism,YBR213W
1000876,r_1000,fumarate reductase (FMN),Cellular response to anaerobic conditions,YEL047C
1000877,r_1001,spermidine synthase,Arginine and proline metabolism,YPR069C
1000878,r_1002,spermine synthase,Arginine and proline metabolism,YLR146C
1000879,r_1003,sphinganine phosphate lyase,Sphingolipid metabolism,YDR294C
1000880,r_1004,sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate),Sphingolipid metabolism,YJL134W or YKR053C
1000881,r_1005,sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase),Sphingolipid metabolism,YJL134W or YKR053C
1000882,r_1006,sphingolipid long chain base kinase (phytosphingosine),Sphingolipid metabolism,YLR260W or YOR171C
1000883,r_1007,sphingolipid long chain base kinase (sphinganine),Sphingolipid metabolism,YLR260W or YOR171C
1000884,r_1008,spontaneous cis-aconitate(3-) to trans-aconitate,C5-branched dibasic acid metabolism,
1000885,r_1009,spontaneous cis-aconitate(3-) to trans-aconitate,C5-branched dibasic acid metabolism,
1000886,r_1010,squalene epoxidase (NAD),Steroid biosynthesis,YGR175C
1000887,r_1011,squalene epoxidase (NADP),Steroid biosynthesis,YGR175C
1000888,r_1012,squalene synthase,Steroid biosynthesis,YHR190W
1000889,r_1021,succinate dehydrogenase (ubiquinone-6),Citrate cycle (TCA cycle),(YDR178W and YJL045W and YKL141W and YLL041C) or (YDR178W and YKL141W and YKL148C and YLL041C) or (YLR164W and YJL045W and YKL141W and YLL041C)
1000890,r_1022,succinate-CoA ligase (ADP-forming),Citrate cycle (TCA cycle),YGR244C and YOR142W
1000891,r_1023,succinate-semialdehyde dehydrogenase (NADP),"Alanine, aspartate and glutamate metabolism",YBR006W
1000892,r_1024,sucrose hydrolyzing enzyme,Starch and sucrose metabolism,YIL162W
1000893,r_1025,sulfate adenylyltransferase,Sulfur metabolism,YJR010W
1000894,r_1026,sulfate adenylyltransferase (ADP),Sulfur metabolism,YCL050C
1000895,r_1027,sulfite reductase (NADPH2),Sulfur metabolism,YFR030W and YJR137C
1000896,r_1028,taurcholate via ABC system,"Transport [c, v]",YLL048C
1000897,r_1029,taurine dioxygenase,Sulfur metabolism,YLL057C
1000898,r_1030,tetrahydrofolate aminomethyltransferase,One carbon pool by folate,YAL044C and YDR019C and YFL018C and YMR189W
1000899,r_1031,tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming),Folate biosynthesis,YKL132C or YOR241W
1000900,r_1032,thiamin diphosphatase,Thiamine metabolism,YBR092C
1000901,r_1033,thiamin phosphatase,Thiamine metabolism,YBR092C
1000902,r_1034,thiamine diphosphokinase,Thiamine metabolism,YOR143C
1000903,r_1035,thiamine-diphosphate kinase,Thiamine metabolism,YOR143C
1000904,r_1036,thiamine-phosphate diphosphorylase,Thiamine metabolism,YPL214C
1000905,r_1037,thioredoxin,Glutathione metabolism,(YGR209C and YIL010W) or (YIL010W and YLR043C)
1000906,r_1038,thioredoxin reductase (NADPH),Glutathione metabolism,(YDR353W and YGR209C) or (YDR353W and YLR043C) or YDR353W
1000907,r_1039,thioredoxin reductase (NADPH),Glutathione metabolism,(YCR083W and YHR106W) or (YCR083W and YPL091W)
1000908,r_1040,threonine aldolase,"Glycine, serine and threonine metabolism",YEL046C
1000909,r_1041,threonine synthase,"Glycine, serine and threonine metabolism",YCR053W
1000910,r_1042,threonyl-tRNA synthetase,tRNA metabolism,YIL078W
1000911,r_1043,threonyl-tRNA synthetase,tRNA metabolism,YKL194C
1000912,r_1045,thymidylate synthase,Pyrimidine metabolism,YOR074C
1000913,r_1046,trans-aconitate 3-methyltransferase,C5-branched dibasic acid metabolism,YER175C
1000914,r_1047,trans-pentaprenyltranstransferase,Terpenoid backbone biosynthesis,YBR003W
1000915,r_1048,transaldolase,Pentose phosphate pathway,YGR043C or YLR354C
1000916,r_1049,transketolase 1,Pentose phosphate pathway,YBR117C or YPR074C
1000917,r_1050,transketolase 2,Pentose phosphate pathway,YBR117C or YPR074C
1000918,r_1051,trehalose-phosphatase,Starch and sucrose metabolism,(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C)
1000919,r_1054,triose-phosphate isomerase,Glycolysis / gluconeogenesis,YDR050C
1000920,r_1055,tryptophan synthase (indoleglycerol phosphate),"Phenylalanine, tyrosine and tryptophan biosynthesis",YGL026C
1000921,r_1056,tryptophan transaminase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YGL202W
1000922,r_1057,tryptophanyl-tRNA synthetase,tRNA metabolism,YOL097C
1000923,r_1058,tryptophanyl-tRNA synthetase,tRNA metabolism,YDR268W
1000924,r_1063,tyrosine transaminase,Tyrosine metabolism,YGL202W
1000925,r_1065,tyrosine transaminase,Tyrosine metabolism,YLR027C
1000926,r_1066,tyrosyl-tRNA synthetase,tRNA metabolism,YGR185C
1000927,r_1067,tyrosyl-tRNA synthetase,tRNA metabolism,YPL097W
1000928,r_1068,UDP-glucose:ergosterol glucosyltransferase,Steroid biosynthesis,YLR189C
1000929,r_1069,UDP-N-acetylglucosamine diphosphorylase,Amino sugar and nucleotide sugar metabolism,YDL103C
1000930,r_1070,UDPglucose 4-epimerase,Galactose metabolism,YBR019C
1000931,r_1071,UDPglucose--hexose-1-phosphate uridylyltransferase,Galactose metabolism,YBR018C
1000932,r_1072,UMP kinase,Pyrimidine metabolism,YKL024C
1000933,r_1073,UMP kinase,Pyrimidine metabolism,YKL024C
1000934,r_1074,uracil phosphoribosyltransferase,Pyrimidine metabolism,YHR128W
1000935,r_1075,urea carboxylase,Arginine biosynthesis,YBR208C
1000936,r_1076,ureidoglycolate hydrolase,Purine metabolism,YIR032C
1000937,r_1077,uridine kinase (ATP:uridine),Pyrimidine metabolism,YDR020C or YNR012W
1000938,r_1078,uridine kinase (GTP:uridine),Pyrimidine metabolism,YDR020C or YNR012W
1000939,r_1079,uridylate kinase (dUMP),Pyrimidine metabolism,YKL024C
1000940,r_1080,uridylate kinase (dUMP),Pyrimidine metabolism,YKL024C
1000941,r_1081,uroporphyrinogen decarboxylase (uroporphyrinogen III),Porphyrin and chlorophyll metabolism,YDR047W
1000942,r_1082,uroporphyrinogen methyltransferase,Porphyrin and chlorophyll metabolism,YKR069W
1000943,r_1083,uroporphyrinogen-III synthase,Porphyrin and chlorophyll metabolism,YOR278W
1000944,r_1084,UTP-glucose-1-phosphate uridylyltransferase,Galactose metabolism,YHL012W or YKL035W
1000945,r_1085,"V-ATPase, Golgi",Oxidative phosphorylation,(YPR170W-B and YBR127C and YDL185W and YOR332W and YHR026W and YEL027W and YKL080W and YLR447C and YEL051W and YPL234C and YMR054W and YGR020C and YPR036W and YHR039C-A and YGR106C and YCL005W-A) or (YBR127C and YDL185W and YOR332W and YHR026W and YEL027W and YKL080W and YLR447C and YEL051W and YPL234C and YMR054W and YGR020C and YPR036W and YHR039C-A and YGR106C and YCL005W-A)
1000946,r_1086,"V-ATPase, vacuole",Oxidative phosphorylation,(YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YPR170W-B and YGR106C and YCL005W-A) or (YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YGR106C and YCL005W-A)
1000947,r_1087,valine transaminase,"Valine, leucine and isoleucine metabolism",YJR148W
1000948,r_1088,"valine transaminase, mitochondiral","Valine, leucine and isoleucine metabolism",YHR208W
1000949,r_1089,valyl-tRNA synthetase,tRNA metabolism,YGR094W
1000950,r_1090,valyl-tRNA synthetase,tRNA metabolism,YGR094W
1000951,r_1091,xanthine phosphoribosyltransferase,Purine metabolism,YJR133W
1000952,r_1092,xylitol dehydrogenase (D-xyulose-forming),Pentose and glucuronate interconversions,YLR070C
1000953,r_1093,xylose reductase,Pentose and glucuronate interconversions,YHR104W
1000954,r_1094,xylulokinase,Pentose and glucuronate interconversions,YGR194C
1000955,r_1095,yUMP synthetase,Pyrimidine metabolism,YFL001W or YGL063W or YNL292W or YPL212C
1000956,r_1096,(R)-mevalonate transport,"Transport [c, e]",YNL065W or YKL217W
1000957,r_1097,"(R,R)-butanediol transport","Transport [c, e]",
1000958,r_1098,2-methylbutyl transport,"Transport [c, e]",
1000959,r_1099,2-oxoadipate and 2-oxoglutarate transport,"Transport [c, m]",YOR222W or YPL134C
1000960,r_1100,"3-hexaprenyl-4,5-dihydroxybenzoate transport","Transport [c, m]",
1000961,r_1101,4-aminobutyrate transport,"Transport [c, e]",YDL210W or YOR348C
1000962,r_1102,5-aminolevulinate transport,"Transport [c, e]",YDL210W
1000963,r_1103,5-formyltetrahydrofolic acid transport,"Transport [c, e]",
1000964,r_1104,8-Amino-7-oxononanoate transport,"Transport [c, e]",YNR056C
1000965,r_1106,acetate transport,"Transport [c, e]",YCR010C
1000966,r_1107,acetic ester transport,"Transport [c, e]",
1000967,r_1108,adenine transport,"Transport [c, e]",YER056C or YER060W or YER060W-A
1000968,r_1109,adenosine transport,"Transport [c, e]",YAL022C
1000969,r_1110,ADP/ATP transporter,"Transport [c, m]",YBL030C or YBR085W or YMR056C
1000970,r_1111,ADP/ATP transporter,"Transport [c, p]",YPR128C
1000971,r_1112,"AKG transporter, mitochonrial","Transport [c, m]",YMR241W
1000972,r_1113,allantoate uniport,"Transport [c, e]",YJR152W
1000973,r_1114,allantoin uniport,"Transport [c, e]",YIR028W
1000974,r_1115,ammonia transport,"Transport [c, e]",YDR384C or YGR121C or YNL142W or YPR138C
1000975,r_1116,AMP/ATP transporter,"Transport [c, p]",YPR128C
1000976,r_1118,aspartate-glutamate transporter,"Transport [c, m]",YPR021C
1000977,r_1119,biotin uptake,"Transport [c, e]",YGR065C
1000978,r_1120,carnithine-acetylcarnithine carrier,"Transport [c, m]",YOR100C
1000979,r_1121,ceramide-2' (sphinganine:n-C24:0OH) transport,"Transport [er, g]",
1000980,r_1122,ceramide-2' (sphinganine:n-C26:0OH) transport,"Transport [er, g]",
1000981,r_1123,ceramide-3 (Phytosphingosine:n-C24:0OH) transport,"Transport [er, g]",
1000982,r_1124,ceramide-3 (Phytosphingosine:n-C26:0OH) transport,"Transport [er, g]",
1000983,r_1125,choline transport,"Transport [c, e]",YGL077C
1000984,r_1126,citrate transport,"Transport [c, m]",YBR291C
1000985,r_1127,citrate transport,"Transport [c, m]",YBR291C
1000986,r_1128,citrate transport,"Transport [c, m]",YBR291C
1000987,r_1129,coenzyme A transport,"Transport [c, m]",YHR002W
1000988,r_1130,CTP transport,"Transport [c, m]",YBR192W
1000989,r_1131,CTP/CMP antiport,"Transport [c, m]",YBR192W
1000990,r_1132,cytidine transport,"Transport [c, e]",YAL022C
1000991,r_1133,cytosine transport,"Transport [c, e]",YER056C or YER060W or YER060W-A or YGL186C
1000992,r_1134,D-fructose transport,"Transport [c, e]",YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W
1000993,r_1135,D-galactose transport,"Transport [c, e]",YFL011W or YJL219W or YLR081W or YNL318C or YOL156W
1000994,r_1136,D-lactate transport,"Transport [c, e]",YKL217W
1000995,r_1137,D-lactate transport,"Transport [c, m]",
1000996,r_1138,D-lactate/pyruvate antiport,"Transport [c, m]",
1000997,r_1139,D-mannose transport,"Transport [c, e]",YDL245C or YDR342C or YHR094C or YDR343C or YDR345C or YEL069C or YFL011W or YHR096C or YJL214W or YJL219W or YJR158W or YNR072W or YOL156W
1000998,r_1146,episterol transport,"Transport [c, e]",YIL013C or YOR011W
1000999,r_1147,ergosterol transport,"Transport [c, e]",YIL013C or YOR011W
1001000,r_1148,ergosterol transport,"Transport [c, ce]",YIL013C or YOR011W
1001001,r_1149,ethanolamine transport,"Transport [c, e]",YGL077C
1001002,r_1151,fadH2 transport,"Transport [c, m]",YIL134W
1001003,r_1161,fecosterol transport,"Transport [c, e]",YIL013C or YOR011W
1001004,r_1162,fecosterol transport,"Transport [c, ce]",YIL013C or YOR011W
1001005,r_1164,folic acid transport,"Transport [c, e]",
1001006,r_1165,GDP-mannose antiport,"Transport [c, g]",YGL225W
1001007,r_1166,glucose transport,"Transport [c, e]",YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W or YDR387C
1001008,r_1167,glutathione transport,"Transport [c, e]",YJL212C
1001009,r_1168,glutathione transport,"Transport [c, v]",YDR135C or YLL015W
1001010,r_1169,glycero-3-phospho-1-inositol transport,"Transport [c, e]",YCR098C
1001011,r_1170,glycero-3-phosphocholine transport,"Transport [c, e]",YCR098C
1001012,r_1171,glycerol transport,"Transport [c, e]",YDR536W or YGL084C or YPL189W
1001013,r_1172,glycerol transport via channel,"Transport [c, e]",YFL054C or YLL043W
1001014,r_1173,glycine transport,"Transport [c, e]",YCL025C or YKR039W or YOL020W or YOR348C or YPL265W
1001015,r_1174,glycogen vacuolar 'transport' via autophagy,"Transport [c, v]",
1001016,r_1175,GTP/GDP translocase,"Transport [c, m]",YDL198C
1001017,r_1176,guanine transport,"Transport [c, e]",YER056C or YER060W or YER060W-A
1001018,r_1177,inositol transport,"Transport [c, e]",YDR497C or YOL103W
1001019,r_1178,iron (II) transport,"Transport [c, e]",YMR319C or YMR058W
1001020,r_1179,iron (II) transport,"Transport [c, m]",YJL133W or YKR052C
1001021,r_1180,isoamyl acetate transport,"Transport [c, e]",
1001022,r_1181,isobutyl acetate transport,"Transport [c, e]",
1001023,r_1182,isopentenyl diphosphate transport,"Transport [c, m]",
1001024,r_1183,L-alanine transport,"Transport [c, e]",YCL025C or YKR039W or YOR348C or YPL265W
1001025,r_1184,L-arganine transport,"Transport [c, e]",YEL063C or YKR039W or YNL270C
1001026,r_1185,L-arganine transport,"Transport [c, v]",YOL092W or YBR293W
1001027,r_1186,L-asparagine transport,"Transport [c, e]",YCL025C or YDR508C or YKR039W or YPL265W
1001028,r_1187,L-asparagine transport,"Transport [c, v]",YJR001W
1001029,r_1188,L-aspartate transport,"Transport [c, v]",YKL146W or YNL101W
1001030,r_1189,L-aspartate transport,"Transport [c, v]",YER119C
1001031,r_1190,L-aspartate transport,"Transport [c, e]",YFL055W or YKR039W or YPL265W
1001032,r_1191,L-carnitine transport,"Transport [c, e]",YBR132C
1001033,r_1192,L-cystine transport,"Transport [c, e]",YBR068C or YBR069C or YCL025C or YDR046C or YDR508C or YKR039W or YOL020W
1001034,r_1193,L-cystine transport,"Transport [c, v]",YCR075C
1001035,r_1194,L-glutamate transport,"Transport [c, m]",YPR021C
1001036,r_1195,L-glutamate transport,"Transport [c, v]",YER119C
1001037,r_1196,L-glutamate transport,"Transport [c, e]",YCL025C or YFL055W or YKR039W or YPL265W
1001038,r_1197,L-glutamine transport,"Transport [c, v]",YJR001W
1001039,r_1198,L-glutamine transport,"Transport [c, v]",YKL146W or YNL101W
1001040,r_1199,L-glutamine transport,"Transport [c, e]",YCL025C or YDR508C or YKR039W or YPL265W
1001041,r_1200,"L-histidine transport, vacuolar","Transport [c, v]",YOL092W or YBR293W or YCL069W or YMR088C
1001042,r_1201,L-histidine transport,"Transport [c, e]",YBR069C or YGR191W or YKR039W
